system_name body_name mass x y z vx vy vz
solar_system_2d_rocky sun 332950 0.0 0.0 0.0 0.0 0.0 0.0
solar_system_2d_rocky mercury 0.0553 0.387 0.0 0.0 0.0 917.808649715245 0.0
solar_system_2d_rocky venus 0.815 0.723 0.0 0.0 0.0 678.666784481163 0.0
solar_system_2d_rocky earth 1.0 1.0 0.0 0.0 0.0 577.171023477074 0.0
solar_system_2d_rocky mars 0.107 1.52 0.0 0.0 0.0 466.462293045734 0.0
solar_system_2d sun 332950 0.0 0.0 0.0 0.0 0.0 0.0
solar_system_2d mercury 0.0553 0.387 0.0 0.0 0.0 917.808649715245 0.0
solar_system_2d venus 0.815 0.723 0.0 0.0 0.0 678.666784481163 0.0
solar_system_2d earth 1.0 1.0 0.0 0.0 0.0 577.171023477074 0.0
solar_system_2d mars 0.107 1.52 0.0 0.0 0.0 466.462293045734 0.0
solar_system_2d jupiter 317.8 5.20 0.0 0.0 0.0 253.288831329777 0.0
solar_system_2d saturn 95.159 9.58 0.0 0.0 0.0 187.592646310042 0.0
solar_system_2d uranus 14.536 19.19 0.0 0.0 0.0 131.779958151682 0.0
solar_system_2d neptune 17.147 30.07 0.0 0.0 0.0 105.23017246524 0.0
ternari_system planet_a 1.0 0.0 0.0 0.0 -0.5 -0.5 0.0
ternari_system planet_b 1.0 1.0 -0.25 0.0 0.2 0.45 0.0
ternari_system planet_c 1.0 -1.0 0.25 0.0 0.45 0.2 0
tetra_collision planet_a 2.62347964 0.14934116 -0.23652979 0.0 0.00417774 -0.06087278 0.0
tetra_collision planet_b 4.75250706 -0.56191995 -0.99576422 0.0 0.01196113 0.06416113 0.0
tetra_collision planet_c 2.47621075 0.52275522 -0.04417094 0.0 0.07570891 -0.03687836 0.0
tetra_collision planet_d 9.52427334 -0.29637587 -0.67491491 0.0 0.07228247 0.02278124 0.0
tetra_collision planet_e 2.96251568 0.63116222 0.33621875 0.0 0.0279706 0.05091687 0.0
central_conf_2 planet_a 1.0 0.0 0.0 0.0 0.0 0.0 0.0
central_conf_2 planet_b 1.0 1.0 0.0 0.0 0.0 0.0 0.0
central_conf planet_a 1.0 0.0 0.0 0.0 0.0 0.0 0.0
central_conf planet_b 1.0 1.0 0.0 0.0 0.0 0.0 0.0
central_conf planet_c 1.0 0.5 0.86602540378 0.0 0.0 0.0 0.0
prova body_1 5.622864644917355 -0.6470403294658857 -0.2892853011241754 -0.026315811680881915 0.09169465504456825 0.0 0.0
prova body_2 4.889026289521586 -0.5960988833316012 -0.8073427328941198 0.07357620324442876 0.04876839594890131 0.0 0.0
prova body_3 4.424671747251634 -0.32553299960150506 0.25225405625674857 0.0692883530585944 0.021291678310364714 0.0 0.0
prova body_4 4.132312126364394 0.47584528284748373 0.7231061036220929 0.09667622756717012 -0.01321647814406901 0.0 0.0
prova body_5 6.7072956047002465 0.19163052720516482 0.7629369723025752 -0.006274622773585703 0.04006761208180637 0.0 0.0
prova body_6 5.826652226695422 -0.5005561767515851 0.9003357871478379 -0.030470734246184294 -0.06534626679588323 0.0 0.0
prova body_7 5.686496497180191 0.5772153424162398 -0.1978614681808908 0.06399513996503955 0.022581366733657765 0.0 0.0
prova body_8 2.4099307922448796 0.46772180157712073 -0.453002004166025 -0.008888460832256945 -0.09332239185920528 0.0 0.0
prova body_9 9.013237490778783 0.015245941722486611 0.10516453855831287 -0.00799411237695187 -0.08302277751777501 0.0 0.0
prova body_10 5.30978029661552 -0.8855541012495665 0.22083270553726853 0.07393616654173368 0.02008102352409273 0.0 0.0
prova body_11 9.274830732704679 0.9987225133887112 0.7082457354056726 -0.07019276108305098 0.09292577038160277 0.0 0.0
prova body_12 2.8791584681904046 0.3106363527837972 0.20672577184273333 -0.07339488794484539 0.04198785757816978 0.0 0.0
prova body_13 6.906982734925625 -0.20789283401488912 0.6894658537845149 0.05585513886808749 -0.055522544614737074 0.0 0.0
prova body_14 3.883687270633445 -0.35488650276104927 -0.8985679267717566 -0.003853310675364763 0.043602692877782595 0.0 0.0
prova body_15 8.719960087790952 -0.6803104592903608 0.01520745163363868 -0.0681849674075641 0.07967553482005316 0.0 0.0
prova body_16 2.718540294246066 -0.8840730107248753 -0.9419785111839423 0.027859444302685 0.009766713140803268 0.0 0.0
prova body_17 5.949459427489974 0.281737767586552 -0.6041139223801892 -0.030721486600491885 0.03865710037187983 0.0 0.0
prova body_18 4.640153897395608 -0.38041617644664294 -0.6703090274722243 0.09261888563548396 0.07900249566317968 0.0 0.0
prova body_19 7.809164747193586 -0.10254749697130405 0.6007314828865247 0.025805956654808476 0.07876279655949156 0.0 0.0
prova body_20 1.0733277314260512 0.21340469371837778 0.7104980717152702 0.09748211163215709 -0.09202035482197629 0.0 0.0
